Page,Photo_num,Date,Person_ID,Photo,Envelope_ID,Fruit_ID,Seed_number,Fertilized_not_viable,NonViable_seeds,Notes,Notes2,Notes3
1,,11-11-2015,Vivienne,N,644,1-5,0,Y,Y,Envelope said 0 fruit,Changed from 5 seeds to 0 by MPB after verifying that these seeds were late aborted,
1,,11-11-2015,Vivienne,N,656,1,1,N,,"Total seeds should be +3, found 3 seeds after counting, 5 fruit, total= 24 seeds",,
1,,11-11-2015,Vivienne,N,656,2,2,N,,,,
1,,11-11-2015,Vivienne,N,656,3,5,N,,,,
1,,11-11-2015,Vivienne,N,656,4,10,N,,,,
1,,11-11-2015,Vivienne,N,656,5,3,N,,,,
1,,11-11-2015,Vivienne,N,625,0,0,N,,nothing in envelope,,
1,,11-11-2015,Vivienne,N,646,0,0,N,,,,
1,,11-11-2015,Vivienne,N,746,0,0,N,,,,
1,,11-11-2015,Weihang,N,2,1-4,38,Y,Y,140 aborted,,
1,,11-11-2015,Weihang,N,2,5,14,N,Y,,,
1,,11-11-2015,Weihang,N,318,1-7,45,Y,Y, 92 aborted,,
1,,11-11-2015,Weihang,N,128,1-8,69,Y,Y,11 ABORTED,,
1,,12-11-2015,Weihang,N,232,1,27,Y,Y,15 ABORTED,,
1,,12-11-2015,Weihang,N,232,3,12,Y,Y,36 ABORTED,,
1,,12-11-2015,Weihang,N,232,2,25,Y,Y,15 ABORTED,,
1,,12-11-2015,Weihang,N,232,4,32,Y,Y,18 ABORTED,,
1,,12-11-2015,Weihang,N,200,1-13,103,Y,Y,151 ABORTED,,
3,,12-11-2015,Maggie,N,695,1,12,N,,,,
3,,12-11-2015,Maggie,N,695,2,1,N,,,,
3,,12-11-2015,Maggie,N,695,3,9,N,,,,
3,,12-11-2015,Maggie,N,695,4,20,N,,,,
3,,12-11-2015,Maggie,N,695,5,20,N,,,,
2,,13-11-2015,Vivienne,N,8,1,38,N,,6 flowers in enveope 5 used,,
2,,13-11-2015,Vivienne,N,8,2,28,N,,,,
2,,13-11-2015,Vivienne,N,8,3,36,N,1,,,
2,,13-11-2015,Vivienne,N,8,4,29,N,,,,
2,,13-11-2015,Vivienne,N,8,5,34,N,,,,
2,,13-11-2015,Vivienne,N,95,1,4,N,,10 flowers in envelope 5 used,,
2,,13-11-2015,Vivienne,N,95,2,1,N,,,,
2,,13-11-2015,Vivienne,N,95,3,1,N,,,,
2,,13-11-2015,Vivienne,N,95,4,5,N,,,,
2,,13-11-2015,Vivienne,N,95,5,0,N,,,,
2,,13-11-2015,Vivienne,N,21,1,5,N,1,,,
2,,13-11-2015,Vivienne,N,21,2,0,N,,,,
2,,13-11-2015,Vivienne,N,21,3,0,N,,,,
2,,13-11-2015,Vivienne,N,21,4,0,N,,,,
2,,13-11-2015,Vivienne,N,21,5,0,N,,,,
2,,13-11-2015,Vivienne,N,305,1,0,Y,56,unsure of seed size. VivVivienne's small appeared to be maggies 19 seeds,,
2,,13-11-2015,Vivienne,N,305,2,0,Y,48,,,
2,,13-11-2015,Vivienne,N,305,3,7,Y,57,,,
2,,13-11-2015,Vivienne,N,305,4,0,Y,59,,,
2,,13-11-2015,Vivienne,N,305,5,0,Y,52,,,
2,,13-11-2015,Vivienne,N,398,1,13,N,,"8 flowers found, used 5",,
2,,13-11-2015,Vivienne,N,398,2,8,N,,,,
2,,13-11-2015,Vivienne,N,398,3,11,N,,,,
2,,13-11-2015,Vivienne,N,398,4,7,N,,,,
2,,13-11-2015,Vivienne,N,398,5,3,N,,,,
3,,13-11-2015,Maggie,N,302,1,12,N,,,,
