Date,Pop_ID,PopCode,PopCode2,Site_number,PopName,Prop_stems_flowering,Prop_stems_fruiting,Clump_num,Stems_per_clump_min,Stems_per_clump_max,Total_stems_in_area,Notes
09-10-15,D8,ON.D8,ON.D8,NA,Ardoch,95,95,6,10,15,60,"Found 0 green plants, no full fruit"
09-10-15,D8,ON.D8,ON.D8,NA,Ardoch,95,95,4,5,10,20,
09-10-15,D8,ON.D8,ON.D8,NA,Ardoch,95,95,10,10,15,100,
09-10-15,D8,ON.D8,ON.D8,NA,Ardoch,100,100,20,10,10,200,
09-10-15,D8,ON.D8,ON.D8,NA,Ardoch,100,100,10,15,25,150,
09-10-15,D8,ON.D8,ON.D8,NA,Ardoch,100,100,15,10,15,150,
09-10-15,D8,ON.D8,ON.D8,NA,Ardoch,90,90,13,5,10,65,
09-10-15,D8,ON.D8,ON.D8,NA,Ardoch,0,0,7,5,10,35,
09-10-15,D8,ON.D8,ON.D8,NA,Ardoch,0,0,12,5,10,60,
09-10-15,D8,ON.D8,ON.D8,NA,Ardoch,0,0,33,5,7,165,
09-10-15,D8,ON.D8,ON.D8,NA,Ardoch,10,10,100,3,10,300,
09-10-15,D8,ON.D8,ON.D8,NA,Ardoch,5,5,40,3,8,120,
09-10-15,D8,ON.D8,ON.D8,NA,Ardoch,0,0,8,10,15,80,
09-10-15,T13,ON.T13,ON.T13,1,Joes Lake,60,60,15,5,10,75,
09-10-15,T13,ON.T13,ON.T13,1,Joes Lake,10,10,11,5,30,55,"Found some green plants, Full fruit?"
09-10-15,T13,ON.T13,ON.T13,1,Joes Lake,10,10,13,7,27,91,
09-10-15,T13,ON.T13,ON.T13,2,Joes Lake,10,10,12,3,12,36,
09-10-15,T13,ON.T13,ON.T13,2,Joes Lake,5,5,35,8,25,280,
09-10-15,T13,ON.T13,ON.T13,2,Joes Lake,1,1,12,6,12,72,
09-10-15,T13,ON.T13,ON.T13,2,Joes Lake,1,1,60,5,27,300,
09-10-15,T13,ON.T13,ON.T13,2,Joes Lake,1,1,60,3,15,180,
09-10-15,T13,ON.T13,ON.T13,3,Joes Lake,10,10,100,10,15,1000,
09-10-15,T13,ON.T13,ON.T13,3,Joes Lake,10,10,60,12,15,720,
09-10-15,T13,ON.T13,ON.T13,3,Joes Lake,1,1,50,5,12,250,
09-10-15,T13,ON.T13,ON.T13,3,Joes Lake,5,5,100,5,12,500,
09-10-15,T13,ON.T13,ON.T13,3,Joes Lake,5,5,12,12,25,144,
09-10-15,T13,ON.T13,ON.T13,3,Joes Lake,1,1,2,3,5,6,Green leaves
09-10-15,T13,ON.T13,ON.T13,3,Joes Lake,0,0,5,10,10,50,Green leaves
09-10-15,T13,ON.T13,ON.T13,3,Joes Lake,0,0,1,10,10,10,this plant had green leaves on oct 9 2015
09-10-15,T13,ON.T13,ON.T13,3,Joes Lake,2,2,10,10,10,100,*2 stem W 12 fruit
09-10-15,T13,ON.T13,ON.T13,3,Joes Lake,5,0,20,20,40,400,0 seed
09-10-15,T13,ON.T13,ON.T13,3,Joes Lake,1,0,25,12,40,300,0 seed W fruit
09-10-15,T13,ON.T13,ON.T13,3,Joes Lake,3,0,NA,NA,NA,10,0
09-10-15,T13,ON.T13,ON.T13,3,Joes Lake,10,10,NA,NA,NA,200,
09-10-15,T13,ON.T13,ON.T13,3,Joes Lake,10,10,10,15,30,150,
09-10-15,T13,ON.T13,ON.T13,3,Joes Lake,10,10,NA,NA,NA,100,
09-10-15,T13,ON.T13,ON.T13,3,Joes Lake,80,80,NA,NA,NA,100,
09-10-15,T13,ON.T13,ON.T13,3,Joes Lake,80,80,NA,NA,NA,300,
09-10-15,T13,ON.T13,ON.T13,3,Joes Lake,80,80,NA,NA,NA,200,
09-10-15,T13,ON.T13,ON.T13,3,Joes Lake,10,10,15,7,30,105,
09-10-15,T13,ON.T13,ON.T13,3,Joes Lake,5,5,20,10,30,200,
09-10-15,T13,ON.T13,ON.T13,3,Joes Lake,1,1,10,5,12,50,
09-10-15,T13,ON.T13,ON.T13,3,Joes Lake,1,1,5,7,12,35,
09-10-15,T13,ON.T13,ON.T13,3,Joes Lake,1,1,25,5,12,125,
09-10-15,T13,ON.T13,ON.T13,3,Joes Lake,80,80,NA,NA,NA,100,
09-10-15,T13,ON.T13,ON.T13,3,Joes Lake,80,80,NA,NA,NA,1000,
09-10-15,T13,ON.T13,ON.T13,3,Joes Lake,80,80,12,8,12,96,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,100,100,80,4,8,320,Found big black fruits
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,90,90,30,4,10,120,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,90,90,25,5,10,125,mostly small plants
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,10,10,10,2,10,20,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,90,90,16,6,10,96,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,90,90,12,20,40,240,"Goop, Green plants"
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,70,70,20,4,8,80,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,90,90,22,4,12,88,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,60,60,10,20,40,200,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,40,40,17,4,8,68,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,80,80,22,4,8,88,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,40,40,11,4,8,44,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,70,70,19,6,12,114,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,90,90,30,20,30,600,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,1,1,12,1,4,12,mostly plants from this year
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,20,20,12,1,4,12,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,80,80,5,4,6,20,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,20,20,5,2,5,10,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,100,100,8,8,25,64,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,0,0,7,8,19,56,0 fruit?
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,60,60,NA,NA,NA,55,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,90,90,18,4,10,72,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,90,90,12,3,8,36,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,80,80,15,3,9,45,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,80,80,8,20,40,160,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,40,40,9,4,6,36,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,1,1,8,4,8,32,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,70,70,9,3,5,27,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,50,50,4,4,10,16,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,90,90,5,20,30,100,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,100,100,23,6,12,138,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,95,95,NA,NA,NA,50,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,60,60,NA,NA,NA,100,
09-10-15,M11,ON.M11,ON.M11,NA,Ferguson Lake,10,10,NA,4,8,100,
10-10-15,NO M1,NO.M1,ON.M15,NA,Kagawong,100,100,9,5,7,45,
10-10-15,NO M1,NO.M1,ON.M15,NA,Kagawong,100,100,8,2,6,16,
10-10-15,NO M1,NO.M1,ON.M15,NA,Kagawong,100,100,12,2,4,24,
10-10-15,NO M1,NO.M1,ON.M15,NA,Kagawong,100,90,NA,NA,NA,150,some withi 0 seed
10-10-15,NO M1,NO.M1,ON.M15,NA,Kagawong,100,100,20,5,10,100,
10-10-15,NO M1,NO.M1,ON.M15,NA,Kagawong,95,95,100,2,4,200,
10-10-15,NO M1,NO.M1,ON.M15,NA,Kagawong,95,95,10,2,6,20,
10-10-15,NO M1,NO.M1,ON.M15,NA,Kagawong,100,100,25,4,12,100,
10-10-15,NO M1,NO.M1,ON.M15,NA,Kagawong,100,100,NA,8,10,200,
10-10-15,NO M1,NO.M1,ON.M15,NA,Kagawong,95,95,NA,4,10,200,
10-10-15,NO M1,NO.M1,ON.M15,NA,Kagawong,100,100,2,5,7,10,
10-10-15,NO M1,NO.M1,ON.M15,NA,Kagawong,90,90,8,6,12,48,
10-10-15,NO M1,NO.M1,ON.M15,NA,Kagawong,95,95,8,8,12,64,
10-10-15,NO M1,NO.M1,ON.M15,NA,Kagawong,95,95,NA,6,15,100,
10-10-15,NO M1,NO.M1,ON.M15,NA,Kagawong,95,95,NA,NA,NA,150,
10-10-15,NO M1,NO.M1,ON.M15,NA,Kagawong,90,90,9,4,6,36,
10-10-15,NO M1,NO.M1,ON.M15,NA,Kagawong,1,1,20,4,8,80,
10-10-15,NO M1,NO.M1,ON.M15,NA,Kagawong,40,40,8,4,8,32,
10-10-15,NO M1,NO.M1,ON.M15,NA,Kagawong,80,80,10,3,8,30,
10-10-15,NO M1,NO.M1,ON.M15,NA,Kagawong,0,0,NA,NA,NA,20,
10-10-15,NO M1,NO.M1,ON.M15,NA,Kagawong,80,80,8,2,4,16,
10-10-15,NO M1,NO.M1,ON.M15,NA,Kagawong,80,80,5,1,3,5,
11-10-15,NO D1,NO.D1,ON.D10,NA,Samuel de Champlain,80,5,15,30,40,450,
11-10-15,NO D1,NO.D1,ON.D10,NA,Samuel de Champlain,5,3,30,10,40,300,
11-10-15,NO D1,NO.D1,ON.D10,NA,Samuel de Champlain,60,35,NA,20,40,200,almost 0 seed per fruit
11-10-15,NO D1,NO.D1,ON.D10,NA,Samuel de Champlain,20,10,NA,NA,NA,250,Some Clumps with 0 flowers
11-10-15,NO D1,NO.D1,ON.D10,NA,Samuel de Champlain,5,1,NA,NA,NA,200,
11-10-15,NO D1,NO.D1,ON.D10,NA,Samuel de Champlain,5,1,NA,NA,NA,150,
11-10-15,NO D1,NO.D1,ON.D10,NA,Samuel de Champlain,5,3,NA,NA,NA,150,
11-10-15,NO D1,NO.D1,ON.D10,NA,Samuel de Champlain,1,1,NA,NA,NA,150,
11-10-15,NO D1,NO.D1,ON.D10,NA,Samuel de Champlain,5,0,NA,NA,NA,200,
11-10-15,NO D1,NO.D1,ON.D10,NA,Samuel de Champlain,5,0,NA,NA,NA,150,
11-10-15,NO D1,NO.D1,ON.D10,NA,Samuel de Champlain,40,1,NA,NA,NA,100,
11-10-15,NO D1,NO.D1,ON.D10,NA,Samuel de Champlain,0,0,NA,NA,NA,100,
11-10-15,NO D1,NO.D1,ON.D10,NA,Samuel de Champlain,5,0,50,4,8,200,
11-10-15,NO D1,NO.D1,ON.D10,NA,Samuel de Champlain,10,1,NA,NA,NA,200,
11-10-15,NO D1,NO.D1,ON.D10,NA,Samuel de Champlain,1,0,NA,NA,NA,100,
