Envelope_ID,PopName,Pop_ID,PopCode,PopCode2,Date_collected,stems,Clump_size,Flower_number,Fruit_number,Secondary_branches,Notes,Seed number
148,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,40,150,150,0,,
609,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,20,30,30,0,,
455,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,20,65,65,0,,
617,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,30,80,80,0,,
421,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,40,70,65,0,,
15,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,20,45,40,0,,
571,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,30,20,20,0,,
688,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,5,60,55,12,,
7,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,20,80,80,0,,
41,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,20,90,90,0,,
357,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,20,90,88,0,,
68,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,30,130,125,0,,
30,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,40,55,55,0,,
1,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,12,14,8,0,sole stem in 12 with flowers,
247,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,30,12,12,7,,
407,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,25,65,65,0,,
59,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,12,45,45,9,,
261,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,25,20,20,20,large plant and still green ,
67,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,15,45,45,0,,
118,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,15,80,80,0,,
367,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,>20,100,100,7,in large clump with more than 20 stems,
48,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,20,25,25,0,,
629,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,20,80,77,0,,
603,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,35,20,20,0,,
423,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,40,100,100,0,,
450,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,25,90,90,0,,
380,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,30,100,99,0,,
642,Jock River I,M8,ON.M8,ON.M8,13-10-15,1,,70,65,0,,
398,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,44,25,0,plants were interspersed among tall grasses. Estimates of clump size could not be obtained. ,
304,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,6,3,0,,
237,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,18,5,8,these fruits likely have 1 seed so fruit num might need adjusting,
11,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,4,0,0,,
214,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,3,2,0,"1 fruit has 1 seed and other had 2 seeds, both have what looks like aborted seed",
288,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,21,20,0,,
163,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,10,3,0,,
241,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,37,13,0,,
425,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,25,17,0,,
387,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,12,11,0,,
575,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,6,5,0,,
600,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,9,9,0,,
73,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,11,10,0,,
548,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,21,10,0,,
23,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,15,7,0,,
465,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,14,14,0,,
485,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,33,20,0,,
668,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,31,26,0,,
405,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,10,10,0,possible that 10 fruit may be all aborted. Needs to be checked,
411,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,2,0,0,,
351,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,8,2,0,,
162,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,5,0,0,,
201,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,35,10,0,,
107,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,21,7,7,,
228,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,1,1,0,,
339,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,4,1,0,,
277,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,13,1,7,,
342,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,18,9,0,,
371,Jevins,M2,ON.M2,ON.M2,25-10-15,2,2,2,1,0,,
349,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,7,3,8,,
178,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,9,0,0,,
58,Jevins,M2,ON.M2,ON.M2,25-10-15,2,,9,2,0,,
563,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,22,3,0,,
528,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,2,2,0,,
413,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,4,1,0,,
249,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,16,2,6,,
21,Jevins,M2,ON.M2,ON.M2,25-10-15,1,,8,0,0,,
497,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,12,0,0,,
461,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,15,0,0,,
650,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,3,0,0,,
638,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,2,0,5,,
587,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,11,0,0,,
467,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,2,0,0,,
343,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,6,0,6,,
255,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,3,0,0,,
5,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,9,0,0,,
552,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,12,0,0,,
100,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,10,0,0,,
404,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,11,0,0,,
