Page,Date,Person_ID,Envelope_ID,Viable_seeds(Y/N/Mix),Notes,
1,11-11-2015,Vivienne,644,Y,,
1,11-11-2015,Vivienne,656,N,"second envelope said there were 24 seeds counted but none loose in bag, just 5 fruit",
1,11-11-2015,Vivienne,625,N,empty envelope,
1,11-11-2015,Vivienne,646,N,empty envelope,
1,11-11-2015,Vivienne,746,N,empty envelope,
1,11-11-2015,Weihang,2,Y,seeds small but good,
1,11-11-2015,Weihang,318,Y,seeds in separate envelope,
1,11-11-2015,Weihang,128,Y,,
1,12-11-2015,Weihang,232,N,seeds in separate envelope,
1,12-11-2015,Weihang,200,Y,"two envelopes, one envelope has viable seeds",
3,12-11-2015,Maggie,695,Y,two envelopes,
2,13-11-2015,Vivienne,8,Y,,
2,13-11-2015,Vivienne,95,Y,,
2,13-11-2015,Vivienne,21,Y,,
2,13-11-2015,Vivienne,305,Y,,
2,13-11-2015,Vivienne,398,Y,,
3,13-11-2015,Maggie,302,Y,,
4,13-11-2015,Vivienne,110,N,2 envelopes,
4,13-11-2015,Vivienne,54,Y,"2 envelopes, mostly aborted seeds, some viable",
4,13-11-2015,Vivienne,321,Y,,
4,13-11-2015,Vivienne,309,Y,"seeds small but viable, 2 envelopes",
4,13-11-2015,Weihang,115,Y,,
4,13-11-2015,Weihang,479,Y,,
4,13-11-2015,Weihang,41,Y,,
4,13-11-2015,Weihang,719,Y,,
4,13-11-2015,Weihang,407,Y,,
4,13-11-2015,Weihang,120,Y,*** 2 envelopes - one with seeds one without,
5,24-11-2015,Maggie,36,Y,,
5,24-11-2015,Maggie,173,Y,*** 2 envelopes,
6,25-11-2015,Vivienne,198,Y,*** 2 envelopes,
6,25-11-2015,Sierra,690,Y,,
6,25-11-2015,Sierra,419,Y,,
6,26-11-2015,Weihang,28,Y,*** 2 envelopes,
6,26-11-2015,Weihang,357,Y,*** 2 envelopes,
6,26-11-2015,Weihang,206,Y,,
6,26-11-2015,Weihang,216,Y,,
6,26-11-2015,Weihang,524,Y,,
6,26-11-2015,Weihang,720,Y,*** 2 envelopes,
6,26-11-2015,Weihang,180,Y,,
6,26-11-2015,Weihang,688,Y,,
6,26-11-2015,Weihang,508,Y,,
6,26-11-2015,Weihang,56,Y,,
7,27-11-2015,Vivienne ,554,N,fruit only,
7,27-11-2015,Vivienne,554,Y,,
7,01-12-2015,Sierra,53,Y,,
7,02-12-2015,Vivienne,452,Y,,
7,02-12-2015,Vivienne,174,Y,,
8,03-12-2015,Sierra,87,N,No seeds no fruit,
8,03-12-2015,Sierra,409,Y,,
8,03-12-2015,Sierra,9,Y,,
8,04-12-2015,Vivienne,156,Y,,
8,04-12-2015,Vivienne,144,Y,*** 2 envelopes,
8,08-12-2015,Sierra,202,Y,,
8,09-12-2015,Vivienne,525,Y,,
8,09-12-2015,Vivienne,514,N,too small,
8,09-12-2015,Vivienne,273,Y,,
9,09-12-2015,Vivienne,246,Y,*** 2 envelopes - some seeds were lost,
9,10-12-2015,Sierra,150,Y,,
9,10-12-2015,Sierra,414,N,,
10,05-01-2016,Weihang,391,Y,,
10,05-01-2016,Weihang,269,Y,*** 2 envelopes,
10,06-01-2016,Sierra,153,Y,,
10,06-01-2016,Sierra,123,Y,,
10,06-01-2016,Sierra,96,Y,,
10,12-01-2016,Rebecca,488,Y,,
10,12-01-2016,Rebecca,266,Y,,
10,12-01-2016,Rebecca,464,Y,,
10,12-01-2016,Rebecca,72,Y,,
NA,12-01-2016,Rebecca,72,NA,,
10,12-01-2016,Rebecca,13,Y,,
11,13-01-2016,Sierra,103,Y,,
11,13-01-2016,Sierra,717,Y,,
11,13-01-2016,Rebecca,346,Y,,
11,13-01-2016,Rebecca,179,Y,,
11,13-01-2016,Rebecca,548,Y,,
11,19-01-2016,Rebecca,127,Y,,
11,20-01-2016,Rebecca,31,Y,,
11,20-01-2016,Rebecca,581,Y,,
11,20-01-2016,Rebecca,130,Y,,
12,21-01-2016,Weihang,14,Y,,
12,21-01-2016,Weihang,360,Y,,
12,21-01-2016,Weihang,521,Y,,
12,21-01-2016,Weihang,539,Y,,
12,21-01-2016,Weihang,66,Y,,
12,21-01-2016,Weihang,605,Y,,
12,21-01-2016,Weihang,671,Y,,
12,21-01-2016,Weihang,476,Y,,
12,21-01-2016,Weihang,98,Y,,
12,21-01-2016,Weihang,68,Y,,
12,21-01-2016,Weihang,691,Y,,
12,21-01-2016,Weihang,51,Y,,
13,21-01-2016,Weihang,389,Y,,
13,21-01-2016,Weihang,109,Y,,
13,26-01-2016,Rebecca,270,Y,,
13,26-01-2016,Rebecca,330,Y,,
13,26-01-2016,Rebecca,478,Y,,
13,26-01-2016,Rebecca,523,Y,,
13,27-01-2016,Rebecca,416,Y,,
13,27-01-2016,Rebecca,181,Y,,
13,27-01-2016,Rebecca,4,Y,,
13,27-01-2016,Rebecca,358,Y,,
13,27-01-2016,Rebecca,401,Y,,
13,27-01-2016,Rebecca,623,Y,,
13,27-01-2016,Rebecca,193,Y,,
14,02-02-2016,Rebecca,185,Y,,
14,02-02-2016,Rebecca,63,Y,,
NA,02-02-2016,Rebecca,63,N,,
14,02-02-2016,Rebecca,252,Y,,
14,02-02-2016,Rebecca,386,Y,,
14,02-02-2016,Rebecca,718,Y,,
14,03-02-2016,Rebecca,49,Y,,
NA,03-02-2016,Rebecca,49,Y,repeat,
14,03-02-2016,Rebecca,69,N,,
14,03-02-2016,Rebecca,275,Y,,
14,03-02-2016,Rebecca,348,Y,,
14,03-02-2016,Rebecca,12,Y,,
14,03-02-2016,Rebecca,371,Y,one or two viable seeds,
14,03-02-2016,Rebecca,365,N,,
14,03-02-2016,Weihang,250,Y,,
15,09-02-2016,Rebecca,641,N,,
15,09-02-2016,Rebecca,551,Y,,
15,09-02-2016,Rebecca,620,Y,,
15,09-02-2016,Rebecca,78,Y,,
15,09-02-2016,Rebecca,3,Y,,
15,09-02-2016,Rebecca,106,Y,,
15,09-02-2016,Rebecca,572,Y,seeds small but viable,
16,10-02-2016,Rebecca,721,Y,,
16,10-02-2016,Rebecca,364,Y,,
16,10-02-2016,Rebecca,568,Y,,
16,10-02-2016,Rebecca,538,N,,
16,10-02-2016,Rebecca,24,Y,,
16,10-02-2016,Rebecca,239,Y,seeds small but viable,
16,11-02-2016,Weihang,104,Y,,
16,11-02-2016,Weihang,132,Y,seeds small but viable,
NA,11-02-2016,Weihang,132,Y,repeat,
17,16-02-2016,Rebecca,304,Y,most non-viable some seeds viable,
17,16-02-2016,Rebecca,570,Y,,
NA,16-02-2016,Rebecca,570,Y,repeat,
17,16-02-2016,Rebecca,242,Y,,
17,16-02-2016,Rebecca,506,Y,,
17,16-02-2016,Rebecca,249,Y,,
17,16-02-2016,Rebecca,536,Y,,
17,16-02-2016,Rebecca,716,Y,,
NA,16-02-2016,Rebecca,716,Y,repeat,
17,16-02-2016,Rebecca,6,Y,,
17,16-02-2016,Rebecca,108,Y,,
18,16-02-2016,Rebecca,27,Y,,
18,16-02-2016,Rebecca,631,Y,,
18,16-02-2016,Rebecca,91,Y,,
18,16-02-2016,Rebecca,481,Y,,
18,17-02-2016,Weihang,163,Y,,
18,17-02-2016,Weihang,395,Y,,
18,17-02-2016,Weihang,505,Y,,
18,17-02-2016,Weihang,35,Y,,
18,17-02-2016,Weihang,600,Y,,
18,17-02-2016,Weihang,465,Y,,
18,17-02-2016,Weihang,356,Y,,
18,17-02-2016,Weihang,601,Y,,
18,17-02-2016,Weihang,448,Y,,
18,17-02-2016,Weihang,23,Y,,
18,17-02-2016,Weihang,241,Y,,
19,23-02-2016,Rebecca,151,Y,,
19,23-02-2016,Rebecca,425,Y,,
19,23-02-2016,Rebecca,635,Y,,
19,23-02-2016,Rebecca,374,N,,
19,23-02-2016,Rebecca,76,Y,,
19,23-02-2016,Rebecca,121,Y,,
19,23-02-2016,Rebecca,306,Y,,
19,23-02-2016,Rebecca,332,Y,,
19,23-02-2016,Rebecca,62,Y,,
19,23-02-2016,Rebecca,747,Y,,
19,23-02-2016,Rebecca,211,Y,,
19,24-02-2016,Rebecca,40,N,,
19,24-02-2016,Rebecca,70,Y,,
19,24-02-2016,Rebecca,449,Y,,
19,24-02-2016,Rebecca,152,Y,,
19,24-02-2016,Rebecca,665,Y,,
20,24-02-2016,Rebecca,189,Y,,
20,24-02-2016,Rebecca,359,Y,,
20,01-03-2016,Rebecca,192,Y,mostly aborted some not aborted,
20,01-03-2016,Rebecca,168,Y,,
20,01-03-2016,Rebecca,217,Y,,
20,01-03-2016,Rebecca,10,Y,,
20,01-03-2016,Rebecca,82,Y,,
20,01-03-2016,Rebecca,545,Y,,
20,01-03-2016,Rebecca,97,Y,,
20,01-03-2016,Rebecca,578,Y,,
20,02-03-2016,Rebecca,339,Y,,
20,02-03-2016,Rebecca,228,Y,,
20,02-03-2016,Rebecca,107,Y,,
20,02-03-2016,Rebecca,201,Y,mostly aborted some not aborted,
21,02-03-2016,Rebecca,162,N,,
21,02-03-2016,Rebecca,351,N,,
21,02-03-2016,Rebecca,411,N,,
21,02-03-2016,Rebecca,668,Y,,
21,02-03-2016,Rebecca,223,Y,,
21,02-03-2016,Rebecca,661,Y,,
21,02-03-2016,Rebecca,240,Y,mostly aborted some not aborted,
21,02-03-2016,Rebecca,542,Y,,
21,02-03-2016,Rebecca,229,Y,mostly aborted some not aborted,
21,03-03-2016,Weihang/MPB,518,Y,"Not in correct section - i.e. no correct date tag, wrong bin",
21,03-03-2016,Weihang,334,,,
21,June 1 2016,Maggie,334,,,
21,08-03-2016,Rebecca,213,Y,mostly aborted some not aborted,
21,08-03-2016,Rebecca,517,N,,
21,08-03-2016,Rebecca,683,Y,mostly aborted some not aborted,
21,08-03-2016,Rebecca,497,N,,
22,08-03-2016,Rebecca,497,N,repeat,
22,08-03-2016,Rebecca,451,Y,,
22,08-03-2016,Rebecca,420,Y,,
22,08-03-2016,Rebecca,225,Y,,
22,08-03-2016,Rebecca,159,Y,,
22,08-03-2016,Rebecca,614,Y,,
22,08-03-2016,Rebecca,569,Y,,
22,08-03-2016,Rebecca,392,Y,,
22,09-03-2016,Rebecca,5,N,,
22,09-03-2016,Rebecca,552,N,,
22,09-03-2016,Rebecca,404,N,,
22,09-03-2016,Rebecca,99,N,,
23,09-03-2016,Rebecca,99,N,repeat,
23,09-03-2016,Rebecca,579,N,,
23,09-03-2016,Rebecca,219,N,,
23,09-03-2016,Rebecca,298,N,*******,START
23,09-03-2016,Rebecca,593,N,,
23,09-03-2016,Rebecca,324,N,,
23,09-03-2016,Rebecca,114,N,,
23,09-03-2016,Rebecca,276,N,,
23,09-03-2016,Rebecca,111,N,,
24,09-03-2016,Rebecca,45,N,,
24,09-03-2016,Rebecca,530,N,,
24,09-03-2016,Rebecca,312,N,,
24,09-03-2016,Rebecca,58,Y,,
24,09-03-2016,Rebecca,563,Y,,
24,09-03-2016,Rebecca,528,Y,,
24,09-03-2016,Rebecca,413,N,,
24,15-03-2016,Rebecca,272,Y,,
24,15-03-2016,Rebecca,73,Y,,
24,15-03-2016,Rebecca,575,Y,,
24,15-03-2016,Rebecca,485,Y,,
24,15-03-2016,Rebecca,387,Y,,
24,15-03-2016,Rebecca,288,Y,,
24,15-03-2016,Rebecca,410,Y,,
24,15-03-2016,Rebecca,458,Y,,
24,15-03-2016,Rebecca,277,N,,
24,15-03-2016,Rebecca,11,N,,
25,15-03-2016,Rebecca,342,Y,,
25,16-03-2016,Rebecca,510,Y,,
25,16-03-2016,Rebecca,77,Y,,
25,16-03-2016,Rebecca,29,Y,,
25,16-03-2016,Rebecca,117,N,,
25,16-03-2016,Rebecca,100,N,,
25,16-03-2016,Rebecca,42,N,,
25,16-03-2016,Rebecca,512,N,,
25,16-03-2016,Rebecca,141,N,,
25,16-03-2016,Rebecca,657,N,,
25,16-03-2016,Rebecca,482,Y,,
25,16-03-2016,Rebecca,138,N,,
26,22-03-2016,Rebecca,638,N,,
26,22-03-2016,Rebecca,209,N,,
26,22-03-2016,Rebecca,587,N,,
26,22-03-2016,Rebecca,65,Y,,
26,22-03-2016,Rebecca,126,Y,,
26,22-03-2016,Rebecca,186,N,,
26,22-03-2016,Rebecca,17,Y,,
26,22-03-2016,Rebecca,513,N,,
26,22-03-2016,Rebecca,220,Y,,
26,22-03-2016,Rebecca,177,Y,,
26,22-03-2016,Rebecca,84,N,,
26,23-03-2016,Rebecca,331,Y,,
26,23-03-2016,Rebecca,313,Y,,
26,23-03-2016,Rebecca,64,Y,,
26,23-03-2016,Rebecca,85,Y,,
26,23-03-2016,Rebecca,511,Y,,
26,23-03-2016,Rebecca,195,Y,,
26,23-03-2016,Rebecca,516,Y,,
26,23-03-2016,Rebecca,674,N,,
26,23-03-2016,Rebecca,215,Y,,
27,23-03-2016,Rebecca,237,Y,,
27,23-03-2016,Rebecca,722,Y,,
27,23-03-2016,Rebecca,308,Y,,
27,29-03-2016,Rebecca,555,Y,,
27,29-03-2016,Rebecca,519,Y,,
27,29-03-2016,Rebecca,307,Y,,
27,29-03-2016,Rebecca,203,N,,
27,29-03-2016,Rebecca,509,Y,,
27,29-03-2016,Rebecca,30,Y,,
27,29-03-2016,Rebecca,26,N,,
27,29-03-2016,Rebecca,426,Y,,
28,30-03-2016,Rebecca,557,Y,,
28,30-03-2016,Rebecca,338,Y,,
28,30-03-2016,Rebecca,558,N,,
28,30-03-2016,Rebecca,613,Y,,
28,30-03-2016,Rebecca,673,Y,,
28,30-03-2016,Rebecca,560,Y,,
28,30-03-2016,Rebecca,546,N,,
28,30-03-2016,Rebecca,549,Y,,
28,30-03-2016,Rebecca,676,Y,,
28,30-03-2016,Rebecca,434,Y,,
28,30-03-2016,Rebecca,61,Y,,
29,06-04-2016,Rebecca,463,Y,,
29,06-04-2016,Rebecca,550,Y,,
29,06-04-2016,Rebecca,317,Y,,
29,06-04-2016,Rebecca,341,Y,,
29,06-04-2016,Rebecca,280,N,,
30,13-04-2016,Rebecca,706,Y,,
30,13-04-2016,Rebecca,737,Y,,
30,13-04-2016,Rebecca,628,Y,*********,END
30,18-04-2016,Maggie,562,Y,,
30,18-04-2016,Maggie,362,Y,,
30,18-04-2016,Maggie,102,N,,
30,18-04-2016,Maggie,520,Y,,
30,18-04-2016,Maggie,146,N,,
30,18-04-2016,Maggie,160,N,,
30,18-04-2016,Maggie,655,Y,,
30,18-04-2016,Maggie,461,N,,
30,18-04-2016,Maggie,440,N,many fruit,
31,18-04-2016,Maggie,650,N,nothing in envelope,
31,18-04-2016,Maggie,467,N,,
31,18-04-2016,Maggie,584,N,,
31,18-04-2016,Maggie,255,N,,
31,18-04-2016,Maggie,155,N,,
31,18-04-2016,Maggie,477,Y,,
31,18-04-2016,Maggie,343,N,,
31,18-04-2016,Maggie,616,Y,,
31,18-04-2016,Maggie,447,Y,Seeds small but ok,
31,18-04-2016,Maggie,363,Y,,
31,18-04-2016,Maggie,175,N,,
31,18-04-2016,Maggie,504,Y,,
31,18-04-2016,Maggie,490,Y,,
31,18-04-2016,Maggie,340,N,,
32,18-04-2016,Maggie,292,Y,Seeds small but ok,
32,18-04-2016,Maggie,75,Y,,
32,18-04-2016,Maggie,361,N,many fruit,
32,18-04-2016,Maggie,417,N,,
32,18-04-2016,Maggie,169,N,,
32,18-04-2016,Maggie,535,Y,mostly aborted some not aborted,
32,18-04-2016,Maggie,590,N,,
32,18-04-2016,Maggie,652,N,,
32,18-04-2016,Maggie,154,Y,Seeds small but ok,
32,18-04-2016,Maggie,319,N,,
33,26-04-2016,Erika,105,Y,Seeds small but ok,
33,26-04-2016,Erika,258,N,,
33,26-04-2016,Erika,733,Y,,
33,28-04-2016,Erika,187,Y,,
33,28-04-2016,Erika,438,Y,,
33,28-04-2016,Erika,349,Y,mostly aborted some not aborted,
33,28-04-2016,Erika,585,Y,mostly aborted some not aborted,
