"Envelope_ID","PopName","Pop_ID","PopCode2.x","Date_collected","stems","Clump_size","Notes","Type","Flower_number2","Fruit2","Total_seeds_counted","max_fruit","solo_fruit_count","seed_counted_in_solo_fruit","var_seeds","stdev_seeds","Seeds_per_fruit","PopCode2.y","Lat","Long","L","M","S"
"148","Jock River I","M8","ON.M8",2015-10-13,"1","40",NA,"M",150,150,224,"16",3,49,64.3333333333333,8.02080627701064,14,"ON.M8","45.257674","-75.740428","0","0","79"
"609","Jock River I","M8","ON.M8",2015-10-13,"1","20",NA,"M",30,30,173,"15",1,9,NA,NA,11.5333333333333,"ON.M8","45.257674","-75.740428","0","0","79"
"455","Jock River I","M8","ON.M8",2015-10-13,"1","20",NA,"M",65,65,457,"23",0,0,NA,NA,19.8695652173913,"ON.M8","45.257674","-75.740428","0","0","79"
"617","Jock River I","M8","ON.M8",2015-10-13,"1","30",NA,"M",80,80,281,"21",0,0,NA,NA,13.3809523809524,"ON.M8","45.257674","-75.740428","0","0","79"
"421","Jock River I","M8","ON.M8",2015-10-13,"1","40",NA,"M",70,65,82,"5",5,82,18.8,4.33589667773576,16.4,"ON.M8","45.257674","-75.740428","0","0","79"
"15","Jock River I","M8","ON.M8",2015-10-13,"1","20",NA,"M",45,40,90,"5",0,0,NA,NA,18,"ON.M8","45.257674","-75.740428","0","0","79"
"571","Jock River I","M8","ON.M8",2015-10-13,"1","30",NA,"M",20,20,411,"19",0,0,NA,NA,21.6315789473684,"ON.M8","45.257674","-75.740428","0","0","79"
"688","Jock River I","M8","ON.M8",2015-10-13,"1","5",NA,"M",60,55,44,"5",5,44,64.2,8.01249024960405,8.8,"ON.M8","45.257674","-75.740428","0","0","79"
"7","Jock River I","M8","ON.M8",2015-10-13,"1","20",NA,"M",80,80,180,"12",0,0,NA,NA,15,"ON.M8","45.257674","-75.740428","0","0","79"
"41","Jock River I","M8","ON.M8",2015-10-13,"1","20",NA,"M",90,90,85,"5",0,0,NA,NA,17,"ON.M8","45.257674","-75.740428","0","0","79"
