"Page","Photo_num","Date","Person_ID","Photo","Envelope_ID","Fruit_ID","Seed_number","NonViable_seeds","Notes","Notes2","Date2"
1,NA,"11-11-2015","Vivienne","N",644,"1-5","0","Y","Envelope said 0 fruit","Changed from 5 seeds to 0 by MPB after verifying that these seeds were late aborted",2015-11-11
1,NA,"11-11-2015","Vivienne","N",656,"1","1",NA,"Total seeds should be +3, found 3 seeds after counting, 5 fruit, total= 24 seeds",NA,2015-11-11
1,NA,"11-11-2015","Vivienne","N",656,"2","2",NA,NA,NA,2015-11-11
1,NA,"11-11-2015","Vivienne","N",656,"3","5",NA,NA,NA,2015-11-11
1,NA,"11-11-2015","Vivienne","N",656,"4","10",NA,NA,NA,2015-11-11
1,NA,"11-11-2015","Vivienne","N",656,"5","3",NA,NA,NA,2015-11-11
1,NA,"11-11-2015","Vivienne","N",625,"0","0",NA,"nothing in envelope",NA,2015-11-11
1,NA,"11-11-2015","Vivienne","N",646,"0","0",NA,NA,NA,2015-11-11
1,NA,"11-11-2015","Vivienne","N",746,"0","0",NA,NA,NA,2015-11-11
1,NA,"11-11-2015","Weihang","N",2,"1-4","38","Y","140 aborted",NA,2015-11-11
1,NA,"11-11-2015","Weihang","N",2,"5","14","Y",NA,NA,2015-11-11
1,NA,"11-11-2015","Weihang","N",318,"1-7","45","Y"," 92 aborted",NA,2015-11-11
1,NA,"11-11-2015","Weihang","N",128,"1-8","69","Y","11 ABORTED",NA,2015-11-11
1,NA,"12-11-2015","Weihang","N",232,"1","27","Y","15 ABORTED",NA,2015-11-12
1,NA,"12-11-2015","Weihang","N",232,"3","12","Y","36 ABORTED",NA,2015-11-12
1,NA,"12-11-2015","Weihang","N",232,"2","25","Y","15 ABORTED",NA,2015-11-12
1,NA,"12-11-2015","Weihang","N",232,"4","32","Y","18 ABORTED",NA,2015-11-12
1,NA,"12-11-2015","Weihang","N",200,"1-13","103","Y","151 ABORTED",NA,2015-11-12
3,NA,"12-11-2015","Maggie","N",695,"1","12",NA,NA,NA,2015-11-12
3,NA,"12-11-2015","Maggie","N",695,"2","1",NA,NA,NA,2015-11-12
3,NA,"12-11-2015","Maggie","N",695,"3","9",NA,NA,NA,2015-11-12
3,NA,"12-11-2015","Maggie","N",695,"4","20",NA,NA,NA,2015-11-12
3,NA,"12-11-2015","Maggie","N",695,"5","20",NA,NA,NA,2015-11-12
2,NA,"13-11-2015","Vivienne","N",8,"1","38",NA,"6 flowers in enveope 5 used",NA,2015-11-13
2,NA,"13-11-2015","Vivienne","N",8,"2","28",NA,NA,NA,2015-11-13
2,NA,"13-11-2015","Vivienne","N",8,"3","36","1",NA,NA,2015-11-13
2,NA,"13-11-2015","Vivienne","N",8,"4","29",NA,NA,NA,2015-11-13
2,NA,"13-11-2015","Vivienne","N",8,"5","34",NA,NA,NA,2015-11-13
2,NA,"13-11-2015","Vivienne","N",95,"1","4",NA,"10 flowers in envelope 5 used",NA,2015-11-13
2,NA,"13-11-2015","Vivienne","N",95,"2","1",NA,NA,NA,2015-11-13
2,NA,"13-11-2015","Vivienne","N",95,"3","1",NA,NA,NA,2015-11-13
2,NA,"13-11-2015","Vivienne","N",95,"4","5",NA,NA,NA,2015-11-13
2,NA,"13-11-2015","Vivienne","N",95,"5","0",NA,NA,NA,2015-11-13
2,NA,"13-11-2015","Vivienne","N",21,"1","5","1",NA,NA,2015-11-13
2,NA,"13-11-2015","Vivienne","N",21,"2","0","0",NA,NA,2015-11-13
2,NA,"13-11-2015","Vivienne","N",21,"3","0","0",NA,NA,2015-11-13
2,NA,"13-11-2015","Vivienne","N",21,"4","0","0",NA,NA,2015-11-13
2,NA,"13-11-2015","Vivienne","N",21,"5","0","0",NA,NA,2015-11-13
2,NA,"13-11-2015","Vivienne","N",305,"1","0","56","unsure of seed size. VivVivienne's small appeared to be maggies 19 seeds",NA,2015-11-13
2,NA,"13-11-2015","Vivienne","N",305,"2","0","48",NA,NA,2015-11-13
2,NA,"13-11-2015","Vivienne","N",305,"3","7","57",NA,NA,2015-11-13
2,NA,"13-11-2015","Vivienne","N",305,"4","0","59",NA,NA,2015-11-13
2,NA,"13-11-2015","Vivienne","N",305,"5","0","52",NA,NA,2015-11-13
2,NA,"13-11-2015","Vivienne","N",398,"1","13",NA,"8 flowers found, used 5",NA,2015-11-13
2,NA,"13-11-2015","Vivienne","N",398,"2","8",NA,NA,NA,2015-11-13
2,NA,"13-11-2015","Vivienne","N",398,"3","11",NA,NA,NA,2015-11-13
2,NA,"13-11-2015","Vivienne","N",398,"4","7",NA,NA,NA,2015-11-13
2,NA,"13-11-2015","Vivienne","N",398,"5","3",NA,NA,NA,2015-11-13
3,NA,"13-11-2015","Maggie","N",302,"1","12",NA,NA,NA,2015-11-13
3,NA,"13-11-2015","Maggie","N",302,"2","11","16",NA,NA,2015-11-13
3,NA,"13-11-2015","Maggie","N",302,"3","5",NA,NA,NA,2015-11-13
3,NA,"13-11-2015","Maggie","N",302,"4","7",NA,"(+) some tiny prob. obvules",NA,2015-11-13
3,NA,"13-11-2015","Maggie","N",302,"5","7",NA,NA,NA,2015-11-13
4,NA,"13-11-2015","Vivienne","N",110,"1","0","Y","21 FLOWERS FOUND, 16 LEFT",NA,2015-11-13
4,NA,"13-11-2015","Vivienne","N",110,"2","0","Y",NA,NA,2015-11-13
4,NA,"13-11-2015","Vivienne","N",110,"3","8","Y",NA,NA,2015-11-13
4,NA,"13-11-2015","Vivienne","N",110,"4","0","Y",NA,NA,2015-11-13
4,NA,"13-11-2015","Vivienne","N",110,"5","0","Y",NA,NA,2015-11-13
4,NA,"13-11-2015","Vivienne","N",54,"1","3","Y","25 FLOWERS FOUND, 19 LEFT",NA,2015-11-13
4,NA,"13-11-2015","Vivienne","N",54,"2","9","Y",NA,NA,2015-11-13
4,NA,"13-11-2015","Vivienne","N",54,"3","9","Y",NA,NA,2015-11-13
4,NA,"13-11-2015","Vivienne","N",54,"4","0","Y",NA,NA,2015-11-13
4,NA,"13-11-2015","Vivienne","N",54,"5","2","Y",NA,NA,2015-11-13
4,NA,"13-11-2015","Vivienne","N",321,"1","42","N","17 SEEDS WER FOUND IN ENVELOPE BEFORE FLOWERS WERE PROCESSED. 176 TOTAL",NA,2015-11-13
4,NA,"13-11-2015","Vivienne","N",321,"2","31","N",NA,NA,2015-11-13
4,NA,"13-11-2015","Vivienne","N",321,"3","28","N","*159??",NA,2015-11-13
4,NA,"13-11-2015","Vivienne","N",321,"4","34","N",NA,NA,2015-11-13
4,NA,"13-11-2015","Vivienne","N",321,"5","24","N","6 FLOWERS FOUND, 1 LEFT.",NA,2015-11-13
4,NA,"13-11-2015","Vivienne","N",309,"1","59","N","218+6= 224 FOUND AFTER COUNT",NA,2015-11-13
4,NA,"13-11-2015","Vivienne","N",309,"2","47","N",NA,NA,2015-11-13
4,NA,"13-11-2015","Vivienne","N",309,"3","42","N",NA,NA,2015-11-13
4,NA,"13-11-2015","Vivienne","N",309,"4","41","N",NA,NA,2015-11-13
4,NA,"13-11-2015","Vivienne","N",309,"5","29","N",NA,NA,2015-11-13
4,NA,"13-11-2015","Weihang","N",115,"1-4","43","Y",NA,NA,2015-11-13
4,NA,"13-11-2015","Weihang","N",479,"1-4","82","Y",NA,NA,2015-11-13
4,NA,"13-11-2015","Weihang","N",41,"1-5","85","Y",NA,NA,2015-11-13
4,NA,"13-11-2015","Weihang","N",719,"1-4","36","Y",NA,NA,2015-11-13
4,NA,"13-11-2015","Weihang","N",719,"5","2","Y",NA,NA,2015-11-13
4,NA,"13-11-2015","Weihang","N",407,"1-16","376","Y",NA,NA,2015-11-13
4,NA,"13-11-2015","Weihang","N",120,"1-5","76","N",NA,NA,2015-11-13
5,NA,"24-11-2015","Maggie","N",36,"1","168","N",NA,NA,2015-11-24
5,NA,"24-11-2015","Maggie","N",36,"2","94","N",NA,NA,2015-11-24
5,NA,"24-11-2015","Maggie","N",36,"3","85","N",NA,NA,2015-11-24
5,NA,"24-11-2015","Maggie","N",36,"4","43",NA,NA,NA,2015-11-24
5,NA,"24-11-2015","Maggie","N",36,"5","46","N",NA,NA,2015-11-24
5,NA,"24-11-2015","Maggie","N",36,"6","28","N",NA,NA,2015-11-24
5,NA,"24-11-2015","Maggie","N",173,"1","60","N",NA,NA,2015-11-24
5,NA,"24-11-2015","Maggie","N",173,"2","16","Y",NA,NA,2015-11-24
5,NA,"24-11-2015","Maggie","N",173,"3","35","N",NA,NA,2015-11-24
5,NA,"24-11-2015","Maggie","N",173,"4","42","Y",NA,NA,2015-11-24
5,NA,"24-11-2015","Maggie","N",173,"5","35","Y",NA,NA,2015-11-24
6,NA,"25-11-2015","Vivienne","N",198,"1","13","Y",NA,NA,2015-11-25
6,NA,"25-11-2015","Vivienne","N",198,"2","4","Y","13-11",NA,2015-11-25
6,NA,"25-11-2015","Vivienne","N",198,"3","1","Y","4-3",NA,2015-11-25
6,NA,"25-11-2015","Vivienne","N",198,"4","13","Y","23-10",NA,2015-11-25
6,NA,"25-11-2015","Vivienne","N",198,"5","10","Y","16-6",NA,2015-11-25
6,NA,"25-11-2015","Sierra","N",690,"1","7","Y","ALL SEEDS COUNTED BY HAND ONLY",NA,2015-11-25
6,NA,"25-11-2015","Sierra","N",690,"2","19","Y",NA,NA,2015-11-25
6,NA,"25-11-2015","Sierra","N",690,"3","6","Y",NA,NA,2015-11-25
6,NA,"25-11-2015","Sierra","N",690,"4","10","Y",NA,NA,2015-11-25
6,NA,"25-11-2015","Sierra","N",690,"5","4","Y",NA,NA,2015-11-25
6,NA,"25-11-2015","Sierra","N",419,"1","32","Y","4 fruits found",NA,2015-11-25
6,NA,"25-11-2015","Sierra","N",419,"2","29","Y",NA,NA,2015-11-25
6,NA,"25-11-2015","Sierra","N",419,"3","31","Y",NA,NA,2015-11-25
6,NA,"25-11-2015","Sierra","N",419,"4","15","Y",NA,NA,2015-11-25
6,NA,"26-11-2015","Weihang","N",28,"1-5","57","Y",NA,NA,2015-11-26
6,NA,"26-11-2015","Weihang","N",357,"1-6","97","Y",NA,NA,2015-11-26
6,NA,"26-11-2015","Weihang","N",206,"1-2","3","Y",NA,NA,2015-11-26
6,NA,"26-11-2015","Weihang","N",216,"1-3","49","Y",NA,NA,2015-11-26
6,NA,"26-11-2015","Weihang","N",216,"4","21","Y",NA,NA,2015-11-26
