"Envelope_ID","PopName","Pop_ID","PopCode","PopCode2","Date_collected","stems","Clump_size","Flower_number","Fruit_number","Secondary_branches","Notes","Seed.number","Type","Flower_number2","Fruit2"
"148","Jock River I","M8","ON.M8","ON.M8","13-10-15","1","40",150,150,0,"","","M",150,150
"609","Jock River I","M8","ON.M8","ON.M8","13-10-15","1","20",30,30,0,"","","M",30,30
"455","Jock River I","M8","ON.M8","ON.M8","13-10-15","1","20",65,65,0,"","","M",65,65
"617","Jock River I","M8","ON.M8","ON.M8","13-10-15","1","30",80,80,0,"","","M",80,80
"421","Jock River I","M8","ON.M8","ON.M8","13-10-15","1","40",70,65,0,"","","M",70,65
"15","Jock River I","M8","ON.M8","ON.M8","13-10-15","1","20",45,40,0,"","","M",45,40
"571","Jock River I","M8","ON.M8","ON.M8","13-10-15","1","30",20,20,0,"","","M",20,20
"688","Jock River I","M8","ON.M8","ON.M8","13-10-15","1","5",60,55,12,"","","M",60,55
"7","Jock River I","M8","ON.M8","ON.M8","13-10-15","1","20",80,80,0,"","","M",80,80
"41","Jock River I","M8","ON.M8","ON.M8","13-10-15","1","20",90,90,0,"","","M",90,90
"357","Jock River I","M8","ON.M8","ON.M8","13-10-15","1","20",90,88,0,"","","M",90,88
"68","Jock River I","M8","ON.M8","ON.M8","13-10-15","1","30",130,125,0,"","","M",130,125
"30","Jock River I","M8","ON.M8","ON.M8","13-10-15","1","40",55,55,0,"","","M",55,55
"1","Jock River I","M8","ON.M8","ON.M8","13-10-15","1","12",14,8,0,"sole stem in 12 with flowers","","M",14,8
"247","Jock River I","M8","ON.M8","ON.M8","13-10-15","1","30",12,12,7,"","","M",12,12
"407","Jock River I","M8","ON.M8","ON.M8","13-10-15","1","25",65,65,0,"","","M",65,65
"59","Jock River I","M8","ON.M8","ON.M8","13-10-15","1","12",45,45,9,"","","M",45,45
"261","Jock River I","M8","ON.M8","ON.M8","13-10-15","1","25",20,20,20,"large plant and still green ","","M",20,20
"67","Jock River I","M8","ON.M8","ON.M8","13-10-15","1","15",45,45,0,"","","M",45,45
"118","Jock River I","M8","ON.M8","ON.M8","13-10-15","1","15",80,80,0,"","","M",80,80
"367","Jock River I","M8","ON.M8","ON.M8","13-10-15","1",">20",100,100,7,"in large clump with more than 20 stems","","M",100,100
"48","Jock River I","M8","ON.M8","ON.M8","13-10-15","1","20",25,25,0,"","","M",25,25
"629","Jock River I","M8","ON.M8","ON.M8","13-10-15","1","20",80,77,0,"","","M",80,77
"603","Jock River I","M8","ON.M8","ON.M8","13-10-15","1","35",20,20,0,"","","M",20,20
"423","Jock River I","M8","ON.M8","ON.M8","13-10-15","1","40",100,100,0,"","","M",100,100
"450","Jock River I","M8","ON.M8","ON.M8","13-10-15","1","25",90,90,0,"","","M",90,90
"380","Jock River I","M8","ON.M8","ON.M8","13-10-15","1","30",100,99,0,"","","M",100,99
"642","Jock River I","M8","ON.M8","ON.M8","13-10-15","1","",70,65,0,"","","M",70,65
"398","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",44,25,0,"plants were interspersed among tall grasses. Estimates of clump size could not be obtained. ","","M",44,25
"304","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",6,3,0,"","","M",6,3
"237","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",18,5,8,"these fruits likely have 1 seed so fruit num might need adjusting","","M",18,5
"11","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",4,0,0,"","","M",4,0
"214","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",3,2,0,"1 fruit has 1 seed and other had 2 seeds, both have what looks like aborted seed","","M",3,2
"288","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",21,20,0,"","","M",21,20
"163","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",10,3,0,"","","M",10,3
"241","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",37,13,0,"","","M",37,13
"425","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",25,17,0,"","","M",25,17
"387","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",12,11,0,"","","M",12,11
"575","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",6,5,0,"","","M",6,5
"600","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",9,9,0,"","","M",9,9
"73","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",11,10,0,"","","M",11,10
"548","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",21,10,0,"","","M",21,10
"23","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",15,7,0,"","","M",15,7
"465","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",14,14,0,"","","M",14,14
"485","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",33,20,0,"","","M",33,20
"668","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",31,26,0,"","","M",31,26
"405","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",10,10,0,"possible that 10 fruit may be all aborted. Needs to be checked","","M",10,10
"411","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",2,0,0,"","","M",2,0
"351","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",8,2,0,"","","M",8,2
"162","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",5,0,0,"","","M",5,0
"201","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",35,10,0,"","","M",35,10
"107","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",21,7,7,"","","M",21,7
"228","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",1,1,0,"","","M",1,1
"339","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",4,1,0,"","","M",4,1
"277","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",13,1,7,"","","M",13,1
"342","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",18,9,0,"","","M",18,9
"371","Jevins","M2","ON.M2","ON.M2","25-10-15","2","2",2,1,0,"","","M",2,1
"349","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",7,3,8,"","","M",7,3
"178","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",9,0,0,"","","M",9,0
"58","Jevins","M2","ON.M2","ON.M2","25-10-15","2","",9,2,0,"","","M",9,2
"563","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",22,3,0,"","","M",22,3
"528","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",2,2,0,"","","M",2,2
"413","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",4,1,0,"","","M",4,1
"249","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",16,2,6,"","","M",16,2
"21","Jevins","M2","ON.M2","ON.M2","25-10-15","1","",8,0,0,"","","M",8,0
"497","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",12,0,0,"","","M",12,0
"461","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",15,0,0,"","","M",15,0
"650","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",3,0,0,"","","M",3,0
"638","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",2,0,5,"","","M",2,0
"587","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",11,0,0,"","","M",11,0
"467","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",2,0,0,"","","M",2,0
"343","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",6,0,6,"","","M",6,0
"255","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",3,0,0,"","","M",3,0
"5","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",9,0,0,"","","M",9,0
"552","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",12,0,0,"","","M",12,0
"100","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",10,0,0,"","","M",10,0
"404","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",11,0,0,"","","M",11,0
"219","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",4,4,0,"","","M",4,4
"579","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",26,0,0,"","","M",26,0
"593","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",25,14,0,"","","M",25,14
"324","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",13,0,0,"","","M",13,0
"114","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",2,0,0,"","","M",2,0
"298","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",13,0,0,"","","M",13,0
"243","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",19,0,0,"","","M",19,0
"276","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",10,0,0,"","","M",10,0
"111","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",19,0,0,"","","M",19,0
"45","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",22,0,0,"","","M",22,0
"312","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",8,0,0,"","","M",8,0
"193","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",42,0,10,"","","M",42,0
"514","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",21,0,0,"","","M",21,0
"530","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",11,0,0,"","","M",11,0
"414","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",7,2,0,"","","M",7,2
"246","Hindon bog","M6","ON.M6","ON.M6","24-10-15","1","",50,45,6,"","","M",50,45
"542","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","",9,4,0,"pop size is few thousand stems 60-80% flowering and 60=80% fruiting","","M",9,4
"358","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","",33,14,0,"","","M",33,14
"138","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","",22,13,0,"","","M",22,13
