"Envelope_ID","Fruit_num_counted","Total_seeds_counted","Seeds_per_fruit","Seed_var","Seed_stdev"
1,NA,41,NA,1,1
2,NA,52,NA,NA,NA
3,NA,42,NA,NA,NA
4,NA,24,NA,NA,NA
5,8,0,0,0,0
6,8,352,44,135.714285714286,11.6496474502144
7,NA,180,NA,NA,NA
8,5,165,33,19,4.35889894354067
9,5,120,24,NA,NA
10,NA,28,NA,NA,NA
11,4,0,0,0,0
12,6,29,4.83333333333333,10.5666666666667,3.25064096243597
13,NA,71,NA,NA,NA
14,NA,155,NA,NA,NA
15,NA,90,NA,NA,NA
16,1,1,1,NA,NA
17,NA,37,NA,NA,NA
18,0,0,0,NA,NA
19,3,4,1.33333333333333,5.33333333333333,2.3094010767585
20,5,15,3,20,4.47213595499958
21,5,5,1,5,2.23606797749979
22,5,77,15.4,27.3,5.22494019104525
23,NA,16,NA,NA,NA
24,NA,33,NA,NA,NA
25,5,2,0.4,0.8,0.894427190999916
26,NA,0,NA,0,0
27,NA,47,NA,NA,NA
28,NA,57,NA,NA,NA
29,NA,105,NA,NA,NA
30,NA,130,NA,NA,NA
31,5,50,10,69.5,8.33666600026653
33,5,10,2,20,4.47213595499958
34,5,263,52.6,373.8,19.3339080374352
35,NA,71,NA,NA,NA
36,6,464,77.3333333333333,2630.26666666667,51.2861254791846
37,NA,51,NA,NA,NA
38,5,0,0,0,0
39,NA,78,NA,NA,NA
40,5,20,4,18,4.24264068711928
41,NA,85,NA,NA,NA
42,12,6,0.5,0.818181818181818,0.904534033733291
43,7,41,5.85714285714286,12.4761904761905,3.53216512583861
44,5,73,14.6,53.3,7.30068489937759
45,6,0,0,0,0
46,5,84,16.8,29.7,5.44977063737548
47,5,20,4,39.5,6.28490254498827
48,NA,88,NA,NA,NA
49,NA,61,NA,NA,NA
50,6,30,5,22,4.69041575982343
51,NA,153,NA,NA,NA
52,6,71,11.8333333333333,12.9666666666667,3.60092580688171
53,5,9,1.8,2.7,1.6431676725155
54,5,23,4.6,17.3,4.15932686861708
55,5,42,8.4,15.3,3.91152144312159
56,NA,37,NA,NA,NA
58,2,8,4,32,5.65685424949238
59,NA,530,NA,2,1.4142135623731
60,5,6,1.2,1.7,1.30384048104053
61,NA,129,NA,NA,NA
62,NA,71,NA,NA,NA
63,7,87,12.4285714285714,159.285714285714,12.620844436317
64,NA,215,NA,NA,NA
65,5,24,4.8,3.7,1.92353840616713
66,NA,119,NA,NA,NA
67,NA,563,NA,NA,NA
68,NA,93,NA,NA,NA
69,6,82,13.6666666666667,135.066666666667,11.6218185610801
70,NA,131,NA,NA,NA
71,5,0,0,0,0
72,NA,153,NA,NA,NA
73,NA,29,NA,2,1.4142135623731
74,5,45,9,36,6
75,NA,42,NA,NA,NA
76,NA,154,NA,NA,NA
77,5,63,12.6,91.8,9.58123165360279
78,2,6,3,8,2.82842712474619
79,5,63,12.6,303.8,17.4298594371842
80,5,0,0,0,0
81,NA,0,NA,NA,NA
82,NA,86,NA,NA,NA
83,5,0,0,0,0
84,7,18,2.57142857142857,8.61904761904762,2.93582145558064
85,NA,74,NA,60.5,7.77817459305202
86,NA,65,NA,4.5,2.12132034355964
87,1,0,0,NA,NA
88,6,17,2.83333333333333,3.76666666666667,1.94079021706795
89,NA,109,NA,NA,NA
90,5,227,45.4,34.3,5.85662018573853
91,NA,58,NA,NA,NA
92,5,121,24.2,115.7,10.7563934476199
93,NA,18,NA,0,0
94,NA,108,NA,NA,NA
95,5,11,2.2,4.7,2.16794833886788
96,NA,128,NA,NA,NA
97,NA,151,NA,NA,NA
98,NA,155,NA,NA,NA
99,9,0,0,0,0
100,5,0,0,0,0
101,NA,0,NA,NA,NA
102,5,257,51.4,149.3,12.2188379152847
103,NA,20,NA,NA,NA
104,NA,50,NA,NA,NA
105,NA,62,NA,NA,NA
106,NA,26,NA,3,1.73205080756888
107,NA,79,NA,36.3333333333333,6.02771377334171
108,5,284,56.8,221.7,14.8895936814945
109,NA,54,NA,2,1.4142135623731
110,5,8,1.6,12.8,3.57770876399966
111,6,0,0,0,0
112,2,0,0,0,0
113,5,1,0.2,0.2,0.447213595499958
114,2,0,0,0,0
115,NA,43,NA,NA,NA
116,3,13,4.33333333333333,56.3333333333333,7.50555349946514
117,6,26,4.33333333333333,5.86666666666667,2.42212028327799
118,NA,417,NA,NA,NA
119,NA,0,NA,NA,NA
120,NA,76,NA,NA,NA
121,NA,67,NA,NA,NA
122,NA,0,NA,0,0
123,NA,120,NA,NA,NA
124,NA,17,NA,37.5833333333333,6.13052471924984
125,4,20,5,11.3333333333333,3.36650164612069
126,NA,41,NA,NA,NA
127,NA,218,NA,NA,NA
128,NA,69,NA,NA,NA
129,NA,0,NA,NA,NA
130,2,30,15,8,2.82842712474619
131,2,5,2.5,12.5,3.53553390593274
132,NA,0,NA,NA,NA
133,5,88,17.6,46.3,6.8044103344816
134,5,231,46.2,155.7,12.4779806058513
135,5,16,3.2,15.7,3.96232255123179
136,5,45,9,2.5,1.58113883008419
137,7,50,7.14285714285714,8.47619047619048,2.911389784311
138,NA,14,NA,6.33333333333333,2.51661147842358
139,5,48,9.6,22.3,4.72228758124704
140,NA,272,NA,NA,NA
141,2,1,0.5,0.5,0.707106781186548
142,5,78,15.6,21.3,4.61519230368573
143,NA,0,NA,NA,NA
