Envelope_ID,Type,PopName,Pop_ID,PopCode2,Date_collected,Clump_size,Secondary_branches,Flower_num,Fruit_num
148,M,Jock River I,M8,ON.M8,2013-10-15,40,0,150,150
609,M,Jock River I,M8,ON.M8,2013-10-15,20,0,30,30
455,M,Jock River I,M8,ON.M8,2013-10-15,20,0,65,65
617,M,Jock River I,M8,ON.M8,2013-10-15,30,0,80,80
421,M,Jock River I,M8,ON.M8,2013-10-15,40,0,70,65
15,M,Jock River I,M8,ON.M8,2013-10-15,20,0,45,40
571,M,Jock River I,M8,ON.M8,2013-10-15,30,0,20,20
688,M,Jock River I,M8,ON.M8,2013-10-15,5,12,60,55
7,M,Jock River I,M8,ON.M8,2013-10-15,20,0,80,80
41,M,Jock River I,M8,ON.M8,2013-10-15,20,0,90,90
357,M,Jock River I,M8,ON.M8,2013-10-15,20,0,90,88
68,M,Jock River I,M8,ON.M8,2013-10-15,30,0,130,125
30,M,Jock River I,M8,ON.M8,2013-10-15,40,0,55,55
1,M,Jock River I,M8,ON.M8,2013-10-15,12,0,14,8
247,M,Jock River I,M8,ON.M8,2013-10-15,30,7,12,12
407,M,Jock River I,M8,ON.M8,2013-10-15,25,0,65,65
59,M,Jock River I,M8,ON.M8,2013-10-15,12,9,45,45
261,M,Jock River I,M8,ON.M8,2013-10-15,25,20,20,20
67,M,Jock River I,M8,ON.M8,2013-10-15,15,0,45,45
118,M,Jock River I,M8,ON.M8,2013-10-15,15,0,80,80
367,M,Jock River I,M8,ON.M8,2013-10-15,>20,7,100,100
48,M,Jock River I,M8,ON.M8,2013-10-15,20,0,25,25
629,M,Jock River I,M8,ON.M8,2013-10-15,20,0,80,77
603,M,Jock River I,M8,ON.M8,2013-10-15,35,0,20,20
423,M,Jock River I,M8,ON.M8,2013-10-15,40,0,100,100
450,M,Jock River I,M8,ON.M8,2013-10-15,25,0,90,90
380,M,Jock River I,M8,ON.M8,2013-10-15,30,0,100,99
642,M,Jock River I,M8,ON.M8,2013-10-15,,0,70,65
398,M,Jevins,M2,ON.M2,2025-10-15,,0,44,25
