"Envelope_ID","Type","PopName","Pop_ID","PopCode2","Date_collected","Clump_size","Secondary_branches","Flower_num","Fruit_num","Fruit_num_counted","Total_seeds_counted","Seeds_per_fruit","Seed_var","Seed_stdev"
148,"M","Jock River I","M8","ON.M8","13-10-15","40",0,150,150,16,224,14,64.3333333333333,8.02080627701064
609,"M","Jock River I","M8","ON.M8","13-10-15","20",0,30,30,15,173,11.5333333333333,NA,NA
455,"M","Jock River I","M8","ON.M8","13-10-15","20",0,65,65,23,457,19.8695652173913,NA,NA
617,"M","Jock River I","M8","ON.M8","13-10-15","30",0,80,80,21,281,13.3809523809524,NA,NA
421,"M","Jock River I","M8","ON.M8","13-10-15","40",0,70,65,5,82,16.4,18.8,4.33589667773576
15,"M","Jock River I","M8","ON.M8","13-10-15","20",0,45,40,5,90,18,NA,NA
571,"M","Jock River I","M8","ON.M8","13-10-15","30",0,20,20,19,411,21.6315789473684,NA,NA
688,"M","Jock River I","M8","ON.M8","13-10-15","5",12,60,55,5,44,8.8,64.2,8.01249024960405
7,"M","Jock River I","M8","ON.M8","13-10-15","20",0,80,80,12,180,15,NA,NA
41,"M","Jock River I","M8","ON.M8","13-10-15","20",0,90,90,5,85,17,NA,NA
357,"M","Jock River I","M8","ON.M8","13-10-15","20",0,90,88,6,97,16.1666666666667,NA,NA
68,"M","Jock River I","M8","ON.M8","13-10-15","30",0,130,125,5,93,18.6,NA,NA
30,"M","Jock River I","M8","ON.M8","13-10-15","40",0,55,55,6,130,21.6666666666667,NA,NA
1,"M","Jock River I","M8","ON.M8","13-10-15","12",0,14,8,8,41,5.125,1,1
247,"M","Jock River I","M8","ON.M8","13-10-15","30",7,12,12,5,89,17.8,NA,NA
407,"M","Jock River I","M8","ON.M8","13-10-15","25",0,65,65,16,376,23.5,NA,NA
59,"M","Jock River I","M8","ON.M8","13-10-15","12",9,45,45,21,530,25.2380952380952,2,1.4142135623731
261,"M","Jock River I","M8","ON.M8","13-10-15","25",20,20,20,5,52,10.4,37.8,6.14817045957576
