"Envelope_ID","Fruit_num_counted","Total_seeds_counted","Seeds_per_fruit","seed_counted_in_solo_fruit","Seed_var","Seed_stdev","Fertilized_not_viable"
1,8,41,5.125,12,1,1,"Y"
2,5,52,10.4,14,NA,NA,"Y"
3,5,42,8.4,0,NA,NA,"N"
4,5,24,4.8,0,NA,NA,"N"
6,8,352,44,352,135.714285714286,11.6496474502144,"N"
7,12,180,15,0,NA,NA,"Y"
8,5,165,33,165,19,4.35889894354067,"N"
9,5,120,24,12,NA,NA,"N"
10,2,28,14,0,NA,NA,"N"
12,6,29,4.83333333333333,29,6.2,2.48997991959775,"N"
13,7,71,10.1428571428571,0,NA,NA,"N"
14,5,155,31,0,NA,NA,"N"
15,5,90,18,0,NA,NA,"Y"
16,1,1,1,1,NA,NA,"N"
17,4,37,9.25,0,NA,NA,"N"
19,1,4,4,4,NA,NA,"N"
20,3,15,5,15,12.5,3.53553390593274,"Y"
21,1,5,5,5,NA,NA,"N"
22,5,77,15.4,77,27.3,5.22494019104525,"N"
23,4,16,4,0,NA,NA,"N"
25,2,2,1,2,NA,NA,"Y"
27,5,47,9.4,0,NA,NA,"N"
28,5,57,11.4,0,NA,NA,"N"
29,4,105,26.25,0,NA,NA,"N"
30,6,130,21.6666666666667,0,NA,NA,"N"
31,4,50,12.5,50,51,7.14142842854285,"N"
33,3,10,3.33333333333333,10,NA,NA,"N"
34,5,263,52.6,263,373.8,19.3339080374352,"N"
35,5,71,14.2,0,NA,NA,"N"
36,6,464,77.3333333333333,464,2630.26666666667,51.2861254791846,"N"
37,5,51,10.2,14,NA,NA,"N"
39,4,78,19.5,0,NA,NA,"Y"
40,4,20,5,20,9.33333333333333,3.05505046330389,"N"
41,5,85,17,0,NA,NA,"N"
42,9,6,0.666666666666667,6,1,1,"N"
43,7,41,5.85714285714286,41,12.4761904761905,3.53216512583861,"Y"
44,5,73,14.6,73,53.3,7.30068489937759,"N"
46,5,84,16.8,84,29.7,5.44977063737548,"Y"
47,4,20,5,20,52.3333333333333,7.23417813807023,"N"
48,4,88,22,0,NA,NA,"N"
49,5,61,12.2,4,NA,NA,"N"
50,6,30,5,30,20,4.47213595499958,"N"
51,5,153,30.6,0,NA,NA,"N"
52,6,71,11.8333333333333,71,12.9666666666667,3.60092580688171,"N"
53,5,9,1.8,9,2.25,1.5,"N"
54,5,23,4.6,23,14.25,3.77491721763537,"N"
55,5,42,8.4,42,15.3,3.91152144312159,"Y"
56,5,37,7.4,0,NA,NA,"N"
58,2,8,4,8,NA,NA,"N"
59,21,530,25.2380952380952,40,2,1.4142135623731,"Y"
60,5,6,1.2,6,1,1,"Y"
61,8,129,16.125,0,NA,NA,"N"
62,2,71,35.5,0,NA,NA,"N"
63,7,87,12.4285714285714,87,48.25,6.9462219947249,"N"
64,6,215,35.8333333333333,0,NA,NA,"N"
65,5,24,4.8,24,3.7,1.92353840616713,"N"
66,4,119,29.75,0,NA,NA,"N"
67,27,563,20.8518518518519,0,NA,NA,"N"
68,5,93,18.6,0,NA,NA,"N"
69,5,82,16.4,82,38.3333333333333,6.1913918736689,"N"
70,5,131,26.2,0,NA,NA,"N"
72,5,153,30.6,0,NA,NA,"N"
73,6,29,4.83333333333333,6,2,1.4142135623731,"N"
74,5,45,9,45,36,6,"N"
75,6,42,7,0,NA,NA,"N"
76,5,154,30.8,0,NA,NA,"N"
77,5,63,12.6,63,56.25,7.5,"N"
78,2,6,3,6,8,2.82842712474619,"N"
79,5,63,12.6,63,24.5,4.94974746830583,"N"
82,4,86,21.5,0,NA,NA,"N"
84,6,18,3,18,5.66666666666667,2.38047614284762,"N"
85,6,74,12.3333333333333,11,NA,NA,"N"
86,7,65,9.28571428571429,19,4.5,2.12132034355964,"Y"
88,6,17,2.83333333333333,17,2.3,1.51657508881031,"N"
89,5,109,21.8,0,NA,NA,"N"
91,5,58,11.6,0,NA,NA,"N"
92,5,121,24.2,121,115.7,10.7563934476199,"N"
93,5,18,3.6,3,0,0,"N"
94,10,108,10.8,0,NA,NA,"N"
95,4,11,2.75,11,4.25,2.06155281280883,"N"
96,5,128,25.6,20,NA,NA,"N"
97,6,151,25.1666666666667,0,NA,NA,"N"
98,5,155,31,0,NA,NA,"N"
102,5,257,51.4,257,149.3,12.2188379152847,"N"
103,5,20,4,4,NA,NA,"N"
104,5,50,10,21,NA,NA,"Y"
105,8,62,7.75,0,NA,NA,"Y"
106,5,26,5.2,15,3,1.73205080756888,"N"
107,7,79,11.2857142857143,20,36.3333333333333,6.02771377334171,"N"
108,5,284,56.8,284,221.7,14.8895936814945,"N"
109,4,54,13.5,16,2,1.4142135623731,"N"
110,3,8,2.66666666666667,8,NA,NA,"N"
113,4,1,0.25,1,NA,NA,"N"
115,4,43,10.75,0,NA,NA,"N"
116,3,13,4.33333333333333,13,NA,NA,"N"
117,6,26,4.33333333333333,26,5.86666666666667,2.42212028327799,"N"
118,21,417,19.8571428571429,0,NA,NA,"Y"
120,5,76,15.2,0,NA,NA,"N"
121,4,67,16.75,0,NA,NA,"N"
123,5,120,24,0,NA,NA,"N"
124,3,17,5.66666666666667,17,40.5,6.36396103067893,"Y"
125,4,20,5,20,11.3333333333333,3.36650164612069,"N"
126,5,41,8.2,0,NA,NA,"N"
127,5,218,43.6,0,NA,NA,"N"
128,8,69,8.625,0,NA,NA,"Y"
130,2,30,15,30,8,2.82842712474619,"N"
131,1,5,5,5,NA,NA,"N"
133,5,88,17.6,88,46.3,6.8044103344816,"N"
134,5,231,46.2,231,155.7,12.4779806058513,"N"
135,4,16,4,16,14.3333333333333,3.78593889720018,"N"
136,5,45,9,45,2.5,1.58113883008419,"Y"
137,7,50,7.14285714285714,50,8.47619047619048,2.911389784311,"N"
138,4,14,3.5,7,4.5,2.12132034355964,"Y"
139,5,48,9.6,48,22.3,4.72228758124704,"N"
140,5,272,54.4,0,NA,NA,"N"
141,2,1,0.5,1,NA,NA,"N"
142,5,78,15.6,78,21.3,4.61519230368573,"N"
144,5,104,20.8,104,498,22.3159136044214,"N"
145,5,24,4.8,24,11.7,3.42052627529741,"N"
148,16,224,14,49,64.3333333333333,8.02080627701064,"Y"
149,3,5,1.66666666666667,5,NA,NA,"N"
150,5,154,30.8,154,109.7,10.4737767782209,"N"
151,5,45,9,0,NA,NA,"N"
152,5,81,16.2,0,NA,NA,"N"
153,4,17,4.25,0,NA,NA,"N"
154,5,99,19.8,99,174.7,13.2174127574197,"N"
155,4,1,0.25,1,NA,NA,"N"
156,5,228,45.6,228,265.3,16.2880324164707,"N"
157,5,82,16.4,82,8.3,2.88097205817759,"N"
158,5,28,5.6,28,3.3,1.81659021245849,"N"
159,3,21,7,4,NA,NA,"N"
161,5,20,4,20,7,2.64575131106459,"N"
162,1,1,1,1,NA,NA,"N"
163,2,9,4.5,0,NA,NA,"N"
164,5,67,13.4,67,41.3,6.42650760522385,"N"
165,2,14,7,14,8,2.82842712474619,"N"
166,4,2,0.5,2,NA,NA,"N"
167,5,87,17.4,87,24.8,4.97995983919549,"N"
168,5,122,24.4,3,NA,NA,"N"
170,5,63,12.6,63,2.3,1.51657508881031,"N"
171,4,4,1,0,NA,NA,"N"
172,5,24,4.8,24,0.2,0.447213595499958,"Y"
173,5,188,37.6,188,250.3,15.8208722894789,"N"
174,4,67,16.75,0,NA,NA,"N"
175,6,35,5.83333333333333,35,2.56666666666667,1.60208197875972,"N"
176,5,223,44.6,81,480.5,21.920310216783,"N"
179,5,38,7.6,4,2,1.4142135623731,"N"
180,5,316,63.2,189,79,8.88819441731559,"N"
181,4,12,3,12,2,1.4142135623731,"N"
182,5,21,4.2,0,NA,NA,"N"
183,5,18,3.6,18,12.3333333333333,3.51188458428425,"N"
184,7,67,9.57142857142857,67,4.95238095238095,2.22539456105675,"Y"
185,6,263,43.8333333333333,0,NA,NA,"N"
186,6,120,20,82,394.333333333333,19.8578280114753,"N"
187,6,128,21.3333333333333,0,NA,NA,"N"
188,5,29,5.8,29,8.2,2.86356421265527,"N"
189,6,192,32,170,NA,NA,"N"
190,5,149,29.8,149,51.7,7.19027120489902,"Y"
191,4,2,0.5,2,0,0,"N"
