"Envelope_ID","Type","PopName","Pop_ID","PopCode2","Date_collected","Clump_size","Secondary_branches","Flower_num","Fruit_num","Fruit_num_counted","Total_seeds_counted","Seeds_per_fruit","seed_counted_in_solo_fruit","Seed_var","Seed_stdev","Fertilized_not_viable"
1,"M","Jock River I","M8","ON.M8","2013-10-15","12",0,14,8,8,41,5.125,12,1,1,"Y"
2,"M","Corry Lake","M16","ON.M16","2011-10-15","",0,50,50,5,52,10.4,14,NA,NA,"Y"
3,"P","Loch Garry","T12","ON.T12","2023-10-15","",8,200,190,5,42,8.4,0,NA,NA,"N"
4,"P","Otty Lake","D7","ON.D7","2026-10-15","",18,140,140,5,24,4.8,0,NA,NA,"N"
5,"M","Hindon bog","M6","ON.M6","2024-10-15","",0,9,0,0,0,NA,NA,NA,NA,"N"
6,"P","Pumphouse Marsh","D9","ON.D9","2025-10-15","",7,195,195,8,352,44,352,135.714285714286,11.6496474502144,"N"
7,"M","Jock River I","M8","ON.M8","2013-10-15","20",0,80,80,12,180,15,0,NA,NA,"Y"
8,"P","Pumphouse Marsh","D9","ON.D9","2025-10-15","",14,280,280,5,165,33,165,19,4.35889894354067,"N"
9,"P","Bewdley A","D5","ON.D5","1930-10-15","",14,265,265,5,120,24,12,NA,NA,"N"
10,"P","Cow Bay QUBS","T6","EO.T6","2027-10-15","",12,135,135,2,28,14,0,NA,NA,"N"
11,"M","Jevins","M2","ON.M2","2025-10-15","",0,4,0,0,0,NA,NA,NA,NA,"N"
12,"M","Round Lake","M5","ON.M5","2024-10-15","15",18,50,50,6,29,4.83333333333333,29,6.2,2.48997991959775,"N"
13,"M","Constance Lake","M9","ON.M9","2013-10-15","",5,7,7,7,71,10.1428571428571,0,NA,NA,"N"
14,"P","Pumphouse Marsh","D9","ON.D9","2025-10-15","",14,345,345,5,155,31,0,NA,NA,"N"
15,"M","Jock River I","M8","ON.M8","2013-10-15","20",0,45,40,5,90,18,0,NA,NA,"Y"
16,"M","Ferguson","M11","ON.M11","2010-10-15","",4,25,1,1,1,1,1,NA,NA,"N"
17,"P","Loch Garry","T12","ON.T12","2023-10-15","20",0,30,30,4,37,9.25,0,NA,NA,"N"
18,"P","Rideau Bird Sanctuary","T17","ON.T16","2026-10-15","",0,55,0,0,0,NA,NA,NA,NA,"N"
19,"M","Ferguson","M11","ON.M11","2010-10-15","",0,160,5,1,4,4,4,NA,NA,"N"
20,"P","Loch Garry","T12","ON.T12","2023-10-15","8",0,28,28,3,15,5,15,12.5,3.53553390593274,"Y"
21,"M","Jevins","M2","ON.M2","2025-10-15","",0,8,0,1,5,5,5,NA,NA,"N"
22,"P","Joes Lake","T13","ON.T13","2009-10-15","",10,55,55,5,77,15.4,77,27.3,5.22494019104525,"N"
23,"M","Jevins","M2","ON.M2","2025-10-15","",0,15,7,4,16,4,0,NA,NA,"N"
25,"M","Constance Lake","M9","ON.M9","2013-10-15","",10,40,30,2,2,1,2,NA,NA,"Y"
26,"P","Loch Garry","T12","ON.T12","2023-10-15","4",18,50,50,0,0,NA,NA,NA,NA,"Y"
27,"M","Mud Lake","M3","ON.M3","2016-10-15","",0,23,1,5,47,9.4,0,NA,NA,"N"
28,"P","Otty Lake","D7","ON.D7","2026-10-15","",10,125,125,5,57,11.4,0,NA,NA,"N"
29,"P","Loch Garry","T12","ON.T12","2023-10-15","",5,80,80,4,105,26.25,0,NA,NA,"N"
30,"M","Jock River I","M8","ON.M8","2013-10-15","40",0,55,55,6,130,21.6666666666667,0,NA,NA,"N"
31,"M","Mud Lake","M3","ON.M3","2016-10-15","",0,5,3,4,50,12.5,50,51,7.14142842854285,"N"
33,"P","Loch Garry","T12","ON.T12","2023-10-15","",0,85,80,3,10,3.33333333333333,10,NA,NA,"N"
34,"P","Loch Garry","T12","ON.T12","2023-10-15","",5,60,60,5,263,52.6,263,373.8,19.3339080374352,"N"
35,"P","Cow Bay QUBS","T6","EO.T6","2027-10-15","",1,105,105,5,71,14.2,0,NA,NA,"N"
36,"P","Pumphouse Marsh","D9","ON.D9","2025-10-15","",8,130,130,6,464,77.3333333333333,464,2630.26666666667,51.2861254791846,"N"
37,"M","Corry Lake","M16","ON.M16","2011-10-15","",2,20,20,5,51,10.2,14,NA,NA,"N"
38,"P","Samuel de Champlain","D10","ON.D10","2011-10-15","",0,50,25,0,0,NA,NA,NA,NA,"N"
39,"P","Bewdley A","D5","ON.D5","1930-10-15","15",7,95,90,4,78,19.5,0,NA,NA,"Y"
40,"P","Bewdley A","D5","ON.D5","1930-10-15","4",12,5,5,4,20,5,20,9.33333333333333,3.05505046330389,"N"
41,"M","Jock River I","M8","ON.M8","2013-10-15","20",0,90,90,5,85,17,0,NA,NA,"N"
42,"M","Round Lake","M5","ON.M5","2024-10-15","",0,11,4,9,6,0.666666666666667,6,1,1,"N"
43,"M","Lac LaPeche","M10","ON.M10","2012-10-15","",0,25,25,7,41,5.85714285714286,41,12.4761904761905,3.53216512583861,"Y"
44,"M","Kagawong","M15","ON.M15","2010-10-15","",2,55,55,5,73,14.6,73,53.3,7.30068489937759,"N"
45,"M","Hindon bog","M6","ON.M6","2024-10-15","",0,22,0,0,0,NA,NA,NA,NA,"N"
46,"M","Horseshoe Lake","M1","ON.M1","2018-10-15","",0,55,55,5,84,16.8,84,29.7,5.44977063737548,"Y"
47,"M","Kagawong","M15","ON.M15","2010-10-15","",0,25,25,4,20,5,20,52.3333333333333,7.23417813807023,"N"
48,"M","Jock River I","M8","ON.M8","2013-10-15","20",0,25,25,4,88,22,0,NA,NA,"N"
49,"P","Loch Garry","T12","ON.T12","2023-10-15","10",0,12,12,5,61,12.2,4,NA,NA,"N"
50,"P","Joes Lake","T13","ON.T13","2009-10-15","",5,15,8,6,30,5,30,20,4.47213595499958,"N"
51,"P","Otty Lake","D7","ON.D7","2026-10-15","",6,189,189,5,153,30.6,0,NA,NA,"N"
52,"M","Horseshoe Lake","M1","ON.M1","2018-10-15","",0,95,95,6,71,11.8333333333333,71,12.9666666666667,3.60092580688171,"N"
53,"P","Otty Lake","D7","ON.D7","2026-10-15","",6,258,258,5,9,1.8,9,2.25,1.5,"N"
54,"M","Caledon","M4","ON.M4","2025-10-15","",6,55,25,5,23,4.6,23,14.25,3.77491721763537,"N"
55,"M","Lafarce","M14","ON.M14","2017-10-15","",0,10,10,5,42,8.4,42,15.3,3.91152144312159,"Y"
56,"M","Mud Lake","M3","ON.M3","2016-10-15","",0,35,30,5,37,7.4,0,NA,NA,"N"
58,"M","Jevins","M2","ON.M2","2025-10-15","",0,9,2,2,8,4,8,NA,NA,"N"
59,"M","Jock River I","M8","ON.M8","2013-10-15","12",9,45,45,21,530,25.2380952380952,40,2,1.4142135623731,"Y"
60,"M","Corry Lake","M16","ON.M16","2011-10-15","",3,85,85,5,6,1.2,6,1,1,"Y"
61,"M","Horseshoe Lake","M1","ON.M1","2018-10-15","",0,60,60,8,129,16.125,0,NA,NA,"N"
62,"P","Cow Bay QUBS","T6","EO.T6","2027-10-15","",10,140,140,2,71,35.5,0,NA,NA,"N"
63,"P","Pumphouse Marsh","D9","ON.D9","2025-10-15","",14,320,320,7,87,12.4285714285714,87,48.25,6.9462219947249,"N"
64,"M","Mud Lake","M3","ON.M3","2016-10-15","8",8,195,190,6,215,35.8333333333333,0,NA,NA,"N"
65,"P","Loch Garry","T12","ON.T12","2023-10-15","4",0,65,55,5,24,4.8,24,3.7,1.92353840616713,"N"
66,"P","Pumphouse Marsh","D9","ON.D9","2025-10-15","",4,88,88,4,119,29.75,0,NA,NA,"N"
67,"M","Jock River I","M8","ON.M8","2013-10-15","15",0,45,45,27,563,20.8518518518519,0,NA,NA,"N"
68,"M","Jock River I","M8","ON.M8","2013-10-15","30",0,130,125,5,93,18.6,0,NA,NA,"N"
69,"P","Loch Garry","T12","ON.T12","2023-10-15","20",0,9,9,5,82,16.4,82,38.3333333333333,6.1913918736689,"N"
70,"P","Bewdley A","D5","ON.D5","1930-10-15","12",0,55,55,5,131,26.2,0,NA,NA,"N"
71,"P","Samuel de Champlain","D10","ON.D10","2011-10-15","",3,12,0,0,0,NA,NA,NA,NA,"N"
72,"P","Bewdley A","D5","ON.D5","1930-10-15","20",9,20,20,5,153,30.6,0,NA,NA,"N"
73,"M","Jevins","M2","ON.M2","2025-10-15","",0,11,10,6,29,4.83333333333333,6,2,1.4142135623731,"N"
74,"M","Kagawong","M15","ON.M15","2010-10-15","",2,100,100,5,45,9,45,36,6,"N"
75,"M","Corry Lake","M16","ON.M16","2011-10-15","",3,13,12,6,42,7,0,NA,NA,"N"
76,"P","Cow Bay QUBS","T6","EO.T6","2027-10-15","",4,85,85,5,154,30.8,0,NA,NA,"N"
77,"P","Loch Garry","T12","ON.T12","2023-10-15","",9,230,225,5,63,12.6,63,56.25,7.5,"N"
78,"P","Rideau Bird Sanctuary","T17","ON.T16","2026-10-15","6",0,2,1,2,6,3,6,8,2.82842712474619,"N"
79,"P","Joes Lake","T13","ON.T13","2009-10-15","",12,9,0,5,63,12.6,63,24.5,4.94974746830583,"N"
80,"P","Samuel de Champlain","D10","ON.D10","2011-10-15","",2,35,0,0,0,NA,NA,NA,NA,"N"
